ID,Внешний проектный актор (должность),Физический носитель роли сейчас,Проектная роль,Ключевой интерес,Подтверждение из отчётов,Основание подтверждения,Тип внешнего контура,FPF-обоснование типизации,Метод роли,Работа роли,Ключевой артефакт / результат
1,Акционер компании-клиента,Дамир,Оценщик возврата на стратегическое внедрение,Рост ценности бизнеса и возврат на управленческие инвестиции,выведенная из контекста,Типичная внешняя роль по архитектуре внедрения и контуру оценки результатов,Внешний управляющий контур,Роль влияет на цели верхнего уровня и критерии успеха проекта.,Оценивать результат внедрения по ценности бизнеса и возврату,Сравнивать ожидания акционера с результатами внедрения,Оценка / интерпретация результата внедрения
2,CEO компании-клиента,Дамир,Заказчик проекта внедрения,Получить работающий механизм исполнения стратегии,явная,CEO указан как адресат weekly report и центральный принимающий решения участник,Внешний управляющий контур,Роль принимает решения о приоритетах,Принимать управленческие решения по проекту внедрения,Утверждать изменения форматов встреч полномочий и приоритетов,Решения CEO / согласованные правила проекта
3,CEO компании-клиента,Дамир,Защитник времени топ-команды,Сохранить фокус топов на стратегическом ритме вместо операционного шума,явная,В отчётах зафиксированы вопросы о внеплановых задачах топам и необходимости управленческого правила,Внешний управляющий контур,Роль задаёт правила доступа к мощности управленческой команды.,Устанавливать правила защиты управленческой мощности команды,Ограничивать внеплановые поручения и операционный шум,Правило / договорённость о защите времени топ-команды
4,Коммерческий директор / РОП,Жанель,Владелец коммерческих гипотез,Рост продаж и исправление узких мест в ОП,явная,В weekly report продажи и аудит ОП выделены как критичный фокус,Внешний управляющий контур,Роль отвечает за зону решений и экспериментов в коммерческом контуре.,Формулировать и проверять коммерческие гипотезы,Перестраивать воронку ОП и коммерческие практики,Коммерческие гипотезы / решения по ОП
5,Коммерческий директор / РОП,Жанель,Носитель интереса к автономии функции,Получить полномочия тестировать гипотезы без постоянного одобрения CEO,явная,Вопрос к CEO о передаче полномочий топ-менеджерам зафиксирован явно,Внешний управляющий контур,Роль связана с перераспределением полномочий и правил принятия решений.,Запрашивать и использовать автономию в принятии решений,Запускать гипотезы в пределах согласованных полномочий,Рамка полномочий / правило автономии
6,Руководитель маркетинга,Айбол,Владелец маркетинговых гипотез,Рост лидогенерации и ясное позиционирование,явная,В weekly report маркетинг выделен как зона риска с дефицитом темпа гипотез,Внешний рыночный контур,Роль меняет связь проекта с внешним спросом и рынком.,Формулировать маркетинговые гипотезы и тесты,Запускать маркетинговые инициативы и анализировать их,Маркетинговые гипотезы / план экспериментов
7,Руководитель маркетинга,Айбол,Защитник скорости маркетинговых экспериментов,Сократить задержки в публикациях и гипотезах,явная,В отчётах зафиксированы запаздывающие кейсы и размытое позиционирование,Внешний рыночный контур,Роль влияет на скорость рыночного обучения проекта.,Ускорять цикл запуска и обратной связи по маркетингу,Снимать задержки в публикациях и координации маркетинга,Ритм маркетинговых запусков / контент-календарь
8,Руководитель академического блока,Турар,Владелец учебных инициатив,Удержать качество образовательного результата при росте,явная,В monthly report выделены продуктовые результаты академии и стратегический вопрос по позиционированию,Внешний управляющий контур,Роль держит управленческую зону продуктовых решений в академическом контуре.,Управлять академическими улучшениями и инициативами,Менять образовательный продукт и учебные практики,Инициативы академического блока / продуктовые решения
9,Руководитель академического блока,Турар,Защитник качества образовательного цикла,Сохранить высокий NPS и устойчивость продуктового цикла,явная,В month 1 зафиксирован NPS 96% и отсутствие числовых KR как риск,Внешний управляющий контур,Роль защищает рабочие инварианты образовательного процесса.,Держать инварианты качества образовательного цикла,Контролировать качество и корректировки учебного процесса,Показатели качества / решения по учебному циклу
10,Финансовый директор,Мерей,Контролёр управленческих затрат,Снизить расходы и усилить дисциплину,явная,В отчётах отражены антикризисный план бюджет и кассовый разрыв,Внешний управляющий контур,Роль определяет ресурсные ограничения и финансовые правила проекта.,Вводить финансовые ограничения и правила расходования,Контролировать бюджет проекта и связанных инициатив,Бюджет / финансовые ограничения / антикризисный план
